"trans_date","change_type","addon_or_removal","site","urbanrural","city","site_type","terms","ns","nsptw","nearby","week_diff"
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",2,7414,-465,"1 | 5 | 10",13
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",2,-7928,900,"1 | 5 | 10",26
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",2,-6582,313,"1 | 5 | 10",39
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",2,-2815,241,"1 | 5 | 10",13
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",1,10821,668,"1 | 5 | 10",26
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",1,7861,-56,"1 | 5 | 10",39
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",2,-6890,218,"1 | 5 | 10",13
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",2,6304,252,"1 | 5 | 10",26
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",2,849,533,"1 | 5 | 10",39
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",2,-3762,499,"1 | 5 | 10",13
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",2,8819,892,"1 | 5 | 10",26
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",1,-2782,-55,"1 | 5 | 10",39
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",1,-5830,-299,"1 | 5 | 10",13
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",1,-7895,860,"1 | 5 | 10",26
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",2,7075,-182,"1 | 5 | 10",39
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",2,9832,137,"1 | 5 | 10",13
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",2,-2131,265,"1 | 5 | 10",26
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",1,6745,-745,"1 | 5 | 10",39
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",2,3451,799,"1 | 5 | 10",13
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",1,-5696,378,"1 | 5 | 10",26
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",1,-1247,-618,"1 | 5 | 10",39
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",1,-9886,344,"1 | 5 | 10",13
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",2,-5328,518,"1 | 5 | 10",26
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",1,-4841,-250,"1 | 5 | 10",39
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",2,-6376,-278,"1 | 5 | 10",13
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",1,11874,-616,"1 | 5 | 10",26
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",1,2269,82,"1 | 5 | 10",39
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",2,-4710,-183,"1 | 5 | 10",13
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",1,-4501,757,"1 | 5 | 10",26
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",1,3342,58,"1 | 5 | 10",39
"2008-04-06","site","addon","site 11","urban","Edmonton","Regular",1,4052,704,"1 | 5 | 10",13
"2008-04-06","site","addon","site 11","urban","Edmonton","Regular",1,7539,256,"1 | 5 | 10",26
"2008-04-06","site","addon","site 11","urban","Edmonton","Regular",1,-6659,-216,"1 | 5 | 10",39
"2008-05-11","terminal","removal","site 12","rural","Champion","Regular",2,-4021,-398,"1 | 5 | 10",13
"2008-05-11","terminal","removal","site 12","rural","Champion","Regular",1,22,814,"1 | 5 | 10",26
"2008-05-11","terminal","removal","site 12","rural","Champion","Regular",2,-9045,-374,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 13","urban","Medicine Hat","Regular",1,9376,-712,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 13","urban","Medicine Hat","Regular",1,-7537,-769,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 13","urban","Medicine Hat","Regular",2,3587,179,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 14","rural","Brooks","Regular",2,9453,835,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 14","rural","Brooks","Regular",2,4353,673,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 14","rural","Brooks","Regular",2,6520,-545,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 15","urban","Medicine Hat","Regular",2,-2928,-717,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 15","urban","Medicine Hat","Regular",2,-6621,-140,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 15","urban","Medicine Hat","Regular",1,-4057,-69,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 16","rural","Brooks","Regular",1,-4757,-408,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 16","rural","Brooks","Regular",2,-9510,-88,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 16","rural","Brooks","Regular",1,8018,679,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 17","rural","Coleman","Regular",2,-2822,-521,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 17","rural","Coleman","Regular",2,-7540,890,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 17","rural","Coleman","Regular",2,-938,-563,"1 | 5 | 10",39
"2008-05-25","terminal","removal","site 18","urban","Edmonton","Regular",1,-5943,-526,"1 | 5 | 10",13
"2008-05-25","terminal","removal","site 18","urban","Edmonton","Regular",2,2237,708,"1 | 5 | 10",26
"2008-05-25","terminal","removal","site 18","urban","Edmonton","Regular",2,5833,611,"1 | 5 | 10",39
"2008-06-01","terminal","removal","site 19","urban","Calgary","Regular",1,-9238,-57,"1 | 5 | 10",13
"2008-06-01","terminal","removal","site 19","urban","Calgary","Regular",2,11089,447,"1 | 5 | 10",26
"2008-06-01","terminal","removal","site 19","urban","Calgary","Regular",2,-751,-101,"1 | 5 | 10",39
"2008-06-08","site","addon","site 20","urban","Edmonton","Regular",1,-6023,238,"1 | 5 | 10",13
"2008-06-08","site","addon","site 20","urban","Edmonton","Regular",2,4571,270,"1 | 5 | 10",26
"2008-06-08","site","addon","site 20","urban","Edmonton","Regular",2,-9136,11,"1 | 5 | 10",39
"2008-06-08","terminal","addon","site 21","urban","Calgary","Regular",1,5468,-424,"1 | 5 | 10",13
"2008-06-08","terminal","addon","site 21","urban","Calgary","Regular",2,5238,-490,"1 | 5 | 10",26
"2008-06-08","terminal","addon","site 21","urban","Calgary","Regular",2,11135,660,"1 | 5 | 10",39
"2008-06-08","terminal","addon","site 22","urban","Calgary","GEC",2,-1879,868,"1 | 5 | 10",13
"2008-06-08","terminal","addon","site 22","urban","Calgary","GEC",2,-8383,624,"1 | 5 | 10",26
