"trans_date","change_type","addon_or_removal","site","urbanrural","city","site_type","terms","ns","nsptw","nearby","week_diff"
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",1,-4030,-139,"1 | 5 | 10",13
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",1,401,693,"1 | 5 | 10",26
"2008-01-20","site","addon","site 1","urban","Calgary","Regular",1,-3102,-481,"1 | 5 | 10",39
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",2,5123,920,"1 | 5 | 10",13
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",2,-5728,380,"1 | 5 | 10",26
"2008-01-20","site","addon","site 2","urban","Calgary","Regular",1,10764,720,"1 | 5 | 10",39
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",1,8363,537,"1 | 5 | 10",13
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",2,1160,-150,"1 | 5 | 10",26
"2008-01-20","site","addon","site 3","urban","Lethbridge","Regular",2,3041,524,"1 | 5 | 10",39
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",2,9106,132,"1 | 5 | 10",13
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",2,679,-745,"1 | 5 | 10",26
"2008-01-27","site","addon","site 4","urban","Calgary","Regular",1,11288,121,"1 | 5 | 10",39
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",1,-3687,304,"1 | 5 | 10",13
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",1,-8210,-344,"1 | 5 | 10",26
"2008-01-27","site","addon","site 5","urban","Calgary","Regular",1,5101,-708,"1 | 5 | 10",39
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",1,5181,324,"1 | 5 | 10",13
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",1,-9309,-367,"1 | 5 | 10",26
"2008-02-03","site","addon","site 6","rural","Irvine","Regular",1,-1293,-165,"1 | 5 | 10",39
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",2,-7864,334,"1 | 5 | 10",13
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",1,-1508,-335,"1 | 5 | 10",26
"2008-02-17","site","addon","site 7","urban","Calgary","Regular",2,8169,26,"1 | 5 | 10",39
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",1,6276,373,"1 | 5 | 10",13
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",1,-1806,-631,"1 | 5 | 10",26
"2008-02-24","site","addon","site 8","urban","Calgary","Regular",1,-6754,150,"1 | 5 | 10",39
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",1,4478,-541,"1 | 5 | 10",13
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",1,6545,-160,"1 | 5 | 10",26
"2008-02-24","site","addon","site 9","rural","Drumheller","Regular",1,-8253,37,"1 | 5 | 10",39
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",1,8155,142,"1 | 5 | 10",13
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",1,-4936,-650,"1 | 5 | 10",26
"2008-02-24","site","addon","site 10","urban","Calgary","Regular",2,-4677,-106,"1 | 5 | 10",39
"2008-04-06","site","addon","site 11","urban","Edmonton","Regular",1,-7688,-622,"1 | 5 | 10",13
